gene_symbol,mean_normal,mean_tumor,std_normal,std_tumor,log2FC,pvalue,n_samples,padj
TMEM192 /// ZNF320,7.49,8.09,0.42,0.51,0.111,3.92e-05,25,1.76e-04
PTPN11,4.54,4.9,0.21,0.34,0.111,1.53e-04,25,5.87e-04
LMO7,6.25,6.75,0.96,0.61,0.111,0.0275,25,0.0552
RNF39,3.38,3.65,0.36,0.35,0.111,0.0124,25,0.0276
SH3BP1,6.42,5.94,0.65,0.46,-0.111,0.0123,25,0.0274
ZNF555,3.97,4.29,0.44,0.47,0.111,0.0322,25,0.0636
ZNF765,3.48,3.76,0.14,0.26,0.111,9.87e-05,25,4.00e-04
C12orf41,7.08,7.65,0.27,0.33,0.111,7.99e-07,25,5.83e-06
FBXO21,6.29,6.79,0.29,0.29,0.111,1.05e-06,25,7.34e-06
MORF4L2,9.43,10.19,0.31,0.37,0.111,8.60e-08,25,8.35e-07
KIAA0040,4.53,4.89,0.31,0.42,0.111,0.0022,25,0.0060
ARSA,3.58,3.32,0.32,0.25,-0.111,0.0022,25,0.0061
DUT,6.64,7.17,0.3,0.53,0.111,5.17e-04,25,0.0017
FBXL17,6.13,5.67,0.19,0.44,-0.111,3.07e-04,25,0.0011
PTPN12,7.14,7.71,0.35,0.39,0.111,8.91e-05,25,3.65e-04
NAPSB,2.92,2.71,0.27,0.15,-0.111,0.0019,25,0.0053
C1orf86,4.12,4.45,0.2,0.22,0.111,1.65e-05,25,8.18e-05
NRIP1,8.13,7.52,0.47,0.44,-0.111,3.16e-04,25,0.0011
GALK2,5.25,5.67,0.24,0.54,0.111,0.0013,25,0.0039
DNAJC13,5.37,4.97,0.34,0.31,-0.111,9.09e-04,25,0.0028
OR5B17,2.28,2.46,0.17,0.21,0.111,0.0031,25,0.0082
TLN1,6.16,5.7,0.92,0.35,-0.111,0.0334,25,0.0655
KLHL29,2.69,2.9,0.22,0.26,0.111,0.0037,25,0.0095
LOC220930,2.86,3.09,0.51,0.51,0.111,0.1622,25,0.2508
SPANXN3,2.2,2.04,0.51,0.12,-0.111,0.1096,25,0.1812
IRF2BP2,8.69,9.39,0.27,0.39,0.111,6.93e-07,25,5.16e-06
ANXA10,2.39,2.58,0.17,0.89,0.111,0.3036,25,0.4161
ZNF770,5.24,5.66,0.16,0.31,0.111,2.35e-06,25,1.48e-05
TPK1,4.46,4.13,0.39,0.43,-0.111,0.0077,25,0.0181
TTC18,2.67,2.48,0.36,0.26,-0.111,0.0483,25,0.0902
KLHL15,5.18,5.6,0.53,0.57,0.111,0.0143,25,0.0313
PPP2R5B,6.57,6.08,0.25,0.31,-0.111,1.73e-06,25,1.13e-05
GSPT2,5.21,5.62,0.54,1.15,0.111,0.1257,25,0.2027
TRIM44,5.59,6.03,0.29,0.33,0.111,4.42e-06,25,2.58e-05
KLRAQ1,4.92,4.56,0.3,0.29,-0.111,3.40e-04,25,0.0012
SFRS6,7.19,7.77,0.35,0.52,0.111,7.50e-08,25,7.41e-07
C6orf125,4.42,4.77,0.16,0.22,0.111,9.68e-07,25,6.87e-06
USP32,4.0,4.32,0.27,0.36,0.111,0.0029,25,0.0078
BCL11A,4.29,4.63,0.25,0.46,0.111,0.0011,25,0.0033
BRF2,4.66,5.03,0.29,0.44,0.111,0.0010,25,0.0031
DSPP,2.21,2.05,0.61,0.19,-0.111,0.2031,25,0.3011
MRPL11,5.41,5.85,0.31,0.4,0.111,1.38e-04,25,5.37e-04
HSPA8,7.51,8.11,0.33,0.61,0.111,2.07e-04,25,7.66e-04
CPSF6,6.91,7.46,0.18,0.29,0.111,4.10e-09,25,5.93e-08
LOC100132214 /// POLR2J4 /// RASA4,2.87,2.66,0.52,0.21,-0.111,0.0906,25,0.1540
DOK5,2.84,2.63,0.26,0.38,-0.111,0.0415,25,0.0790
LOC400590,2.58,2.39,0.28,0.25,-0.111,0.0145,25,0.0315
MEGF6,3.39,3.66,0.25,0.53,0.111,0.0350,25,0.0683
SAMD8,3.31,3.57,0.38,0.46,0.111,0.0244,25,0.0498
GIT1,3.56,3.84,0.21,0.26,0.111,3.81e-04,25,0.0013
PYHIN1,2.64,2.45,0.28,0.15,-0.111,0.0088,25,0.0205
CD3E,2.67,2.47,0.28,0.18,-0.111,0.0093,25,0.0214
LRRC33,3.08,2.86,0.57,0.43,-0.111,0.1545,25,0.2409
LUC7L2,6.88,7.43,0.4,0.51,0.111,1.49e-04,25,5.73e-04
MKNK1,3.58,3.32,0.16,0.13,-0.111,4.70e-08,25,4.90e-07
C3orf15,2.62,2.43,0.34,0.43,-0.11,0.0865,25,0.1480
DHDPSL,2.59,2.79,0.15,0.25,0.11,0.0016,25,0.0045
HARBI1,3.88,4.18,0.25,0.4,0.11,0.0089,25,0.0206
BBS4,4.9,4.54,0.49,0.38,-0.11,0.0119,25,0.0266
REST,3.78,4.08,0.2,0.29,0.11,1.97e-04,25,7.32e-04
TMEM18,5.81,6.27,0.2,0.35,0.11,4.88e-07,25,3.79e-06
RALA,7.11,7.67,0.43,0.43,0.11,1.54e-04,25,5.91e-04
RABEP1,5.54,5.13,0.39,0.45,-0.11,0.0027,25,0.0072
ZNF587,3.52,3.8,0.29,0.3,0.11,0.0065,25,0.0156
SSX4 /// SSX4B,2.33,2.52,0.12,0.19,0.11,3.59e-04,25,0.0012
ZNF283,2.52,2.72,0.12,0.25,0.11,3.86e-04,25,0.0013
HSDL1,3.31,3.57,0.42,0.34,0.11,0.0236,25,0.0483
SART1,4.35,4.69,0.17,0.32,0.11,1.65e-04,25,6.28e-04
RIOK2,5.39,5.81,0.29,0.4,0.11,1.73e-05,25,8.53e-05
C2orf24,7.52,6.97,0.38,0.38,-0.11,1.61e-04,25,6.14e-04
NSMCE1,7.39,7.98,0.31,0.37,0.11,2.26e-07,25,1.95e-06
USP21,4.98,5.38,0.33,0.43,0.11,5.34e-04,25,0.0018
RNF213,4.53,4.89,0.32,0.36,0.11,5.19e-04,25,0.0017
FBXO30,7.6,7.04,0.97,0.4,-0.11,0.0120,25,0.0267
HMOX2,5.87,6.33,0.27,0.27,0.11,8.06e-07,25,5.88e-06
ACSS1,5.6,6.04,0.22,0.65,0.11,0.0049,25,0.0122
SLC30A5,5.45,5.88,0.2,0.28,0.11,8.67e-06,25,4.64e-05
CCNA1,2.49,2.3,0.29,0.15,-0.11,0.0110,25,0.0248
LOC389834,2.73,2.53,0.3,0.18,-0.11,0.0075,25,0.0177
AQP5,3.01,3.25,0.3,1.21,0.11,0.3290,25,0.4433
SPANXN1,2.1,1.95,0.65,0.13,-0.11,0.2258,25,0.3280
ASNA1,6.61,7.13,0.45,0.62,0.11,0.0022,25,0.0061
KRIT1,3.89,4.2,0.24,0.26,0.11,1.84e-04,25,6.91e-04
CDKN2AIPNL,3.47,3.74,0.24,0.29,0.11,8.29e-04,25,0.0026
PCIF1,4.22,4.55,0.15,0.38,0.11,8.96e-04,25,0.0028
TSC22D1,7.31,6.77,0.24,0.55,-0.11,3.59e-04,25,0.0012
SPATA2L,3.44,3.72,0.33,0.29,0.11,0.0090,25,0.0209
CLCN7,4.67,5.04,0.21,0.25,0.11,1.12e-05,25,5.83e-05
TBX1,2.78,2.57,0.13,0.15,-0.11,3.37e-05,25,1.54e-04
C1orf130,2.64,2.84,0.21,0.41,0.11,0.0422,25,0.0802
MRPL32,7.92,8.55,0.23,0.34,0.11,1.09e-08,25,1.40e-07
SLC39A13,5.48,5.92,0.61,0.38,0.11,0.0103,25,0.0235
IGLL5 /// IGLV1-36,2.19,2.03,0.36,0.15,-0.11,0.0508,25,0.0941
C9orf68,2.51,2.71,0.23,0.63,0.11,0.1610,25,0.2492
KLHL5,4.76,4.41,1.41,0.69,-0.11,0.3504,25,0.4662
PF4V1,2.55,2.76,0.14,0.23,0.11,2.12e-04,25,7.81e-04
SIRT7,6.68,6.19,0.63,0.34,-0.11,0.0046,25,0.0116
LOC100288447,2.57,2.39,0.32,0.21,-0.11,0.0113,25,0.0255
RAB32,7.55,6.99,0.19,0.69,-0.11,4.54e-04,25,0.0015
MFSD1,7.69,7.13,0.3,0.64,-0.11,5.06e-04,25,0.0017
KIR3DL1,2.39,2.58,0.28,0.23,0.11,0.0190,25,0.0401
FAM26E,2.97,2.75,0.52,0.36,-0.11,0.1089,25,0.1802
LOC100132167,2.59,2.8,0.23,0.24,0.11,0.0069,25,0.0166
C6orf145,6.39,5.92,0.93,0.67,-0.11,0.0867,25,0.1483
RPL7,9.85,10.63,0.44,0.57,0.11,3.18e-06,25,1.93e-05
IMPA2,7.83,7.26,0.71,0.86,-0.11,0.0134,25,0.0294
RAB39B,2.56,2.38,0.15,0.13,-0.11,1.58e-04,25,6.04e-04
SMG6,4.06,3.76,0.2,0.21,-0.11,2.50e-04,25,9.00e-04
C8orf48,2.89,2.68,0.32,0.24,-0.11,0.0111,25,0.0250
CCL14-CCL15 /// CCL15,7.4,6.86,1.22,0.72,-0.11,0.0894,25,0.1523
C20orf108,8.68,9.36,0.46,0.96,0.11,0.0075,25,0.0177
SGK223,7.73,7.17,0.78,0.65,-0.11,0.0124,25,0.0275
KLF10,9.42,8.73,0.58,0.8,-0.11,0.0060,25,0.0145
ALDH3A1,3.78,4.08,0.54,0.6,0.11,0.0732,25,0.1285
CBX1,6.75,7.28,0.44,0.52,0.11,1.30e-04,25,5.09e-04
HACL1,7.02,7.57,0.2,0.46,0.109,8.47e-06,25,4.55e-05
CLPX,4.36,4.71,0.27,0.34,0.109,3.47e-04,25,0.0012
DICER1,6.94,6.43,0.32,0.56,-0.109,7.69e-04,25,0.0024
PCDH11X /// PCDH11Y,2.29,2.12,0.19,0.1,-0.109,0.0029,25,0.0078
SNORD15A,2.97,3.2,0.27,0.32,0.109,0.0163,25,0.0350
PPM1N,3.27,3.53,0.34,0.52,0.109,0.0396,25,0.0759
KBTBD3,3.2,2.97,0.19,0.18,-0.109,5.66e-04,25,0.0018
NUDT16,5.3,4.91,0.26,0.33,-0.109,1.43e-04,25,5.54e-04
CPNE4,2.48,2.3,0.15,0.13,-0.109,5.11e-06,25,2.94e-05
TMPRSS13,2.72,2.93,0.15,0.24,0.109,0.0029,25,0.0078
ATF6B /// TNXB,3.84,4.15,0.43,0.65,0.109,0.0497,25,0.0924
SAFB,4.41,4.76,0.19,0.19,0.109,4.74e-07,25,3.69e-06
PGRMC2,8.39,7.78,0.2,0.4,-0.109,1.81e-06,25,1.18e-05
KPNB1,8.41,9.08,0.27,0.33,0.109,5.03e-09,25,7.12e-08
LOC100128510,4.15,3.85,0.36,0.41,-0.109,0.0110,25,0.0248
FBXO4,3.53,3.81,0.18,0.23,0.109,1.74e-05,25,8.57e-05
TXNDC12,7.33,7.91,0.34,0.77,0.109,4.04e-04,25,0.0014
TMEM14A,7.21,7.77,0.46,0.52,0.109,4.76e-04,25,0.0016
NUDT4 /// NUDT4P1,6.5,7.01,0.33,0.55,0.109,0.0013,25,0.0038
CCDC3,6.12,5.68,0.69,0.86,-0.109,0.0731,25,0.1284
SDHA,6.73,6.24,0.29,0.4,-0.109,1.52e-05,25,7.63e-05
HMBOX1,4.24,3.94,0.33,0.52,-0.109,0.0056,25,0.0137
XRCC5,8.47,9.14,0.21,0.36,0.109,7.92e-10,25,1.48e-08
TRIM2,8.24,8.88,0.39,0.68,0.109,8.99e-04,25,0.0028
UACA,6.27,5.81,0.42,0.45,-0.109,7.96e-04,25,0.0025
FBXL3,8.04,7.46,0.24,0.51,-0.109,2.46e-05,25,1.17e-04
MAP2K5,3.06,2.84,0.13,0.14,-0.109,1.81e-05,25,8.88e-05
RDH11,7.48,8.06,0.43,0.59,0.109,0.0017,25,0.0048
TNFSF13B,5.48,5.08,0.53,0.91,-0.109,0.1059,25,0.1759
ROCK1 /// ROCK1P1,4.39,4.07,0.54,0.51,-0.109,0.0497,25,0.0923
LCE1E,2.77,2.99,0.18,0.26,0.109,0.0047,25,0.0118
ETS1,5.44,5.04,0.41,0.5,-0.109,0.0055,25,0.0134
EIF2C1,5.12,4.75,0.19,0.29,-0.109,1.42e-05,25,7.19e-05
PRDX2,8.09,8.72,0.37,0.7,0.109,3.16e-05,25,1.46e-04
KLHDC7A,3.13,2.9,0.45,0.38,-0.109,0.0443,25,0.0837
MRPS31,4.49,4.84,0.18,0.31,0.109,2.87e-04,25,0.0010
DNASE2,6.59,7.1,0.31,0.54,0.109,3.24e-04,25,0.0011
UPB1,2.43,2.63,0.19,0.5,0.109,0.0972,25,0.1637
CC2D1B,3.97,3.68,0.32,0.27,-0.109,0.0018,25,0.0050
CTU1,2.44,2.63,0.19,0.2,0.109,0.0019,25,0.0055
PPIL3,8.1,8.73,0.34,0.5,0.109,1.07e-09,25,1.91e-08
FAM124B,2.6,2.41,0.26,0.35,-0.109,0.0642,25,0.1150
SERPINA4,2.45,2.64,0.21,0.46,0.109,0.0660,25,0.1177
GCA,6.02,6.49,0.34,0.37,0.109,2.13e-05,25,1.02e-04
GCNT1,4.54,4.89,0.64,0.56,0.109,0.0434,25,0.0821
HLA-DPA1,9.7,9.0,0.98,1.71,-0.109,0.0978,25,0.1644
MYO9A,4.43,4.1,0.23,0.18,-0.109,5.04e-05,25,2.20e-04
ARID3C,2.31,2.14,0.19,0.17,-0.109,0.0091,25,0.0211
NTNG1,2.45,2.27,0.27,0.12,-0.109,0.0075,25,0.0178
HSD17B3,2.44,2.27,0.28,0.22,-0.109,0.0128,25,0.0282
TRIM15,5.06,4.69,0.96,0.67,-0.109,0.1394,25,0.2209
MRPS24,9.37,10.1,0.17,0.4,0.109,4.77e-11,25,1.43e-09
CLEC18A /// CLEC18B /// CLEC18C,2.82,2.62,0.24,0.29,-0.109,0.0136,25,0.0298
SLCO1B1,2.29,2.47,0.19,0.43,0.109,0.0849,25,0.1458
C8orf47,2.52,2.34,0.59,0.49,-0.109,0.2572,25,0.3646
ARRDC1,5.82,6.27,0.65,0.41,0.109,0.0110,25,0.0249
LSM6,8.35,9.0,0.24,0.6,0.109,1.86e-05,25,9.09e-05
TDF,2.1,1.95,0.24,0.13,-0.108,0.0067,25,0.0161
PMPCA,5.08,5.48,0.18,0.25,0.108,4.72e-07,25,3.68e-06
C19orf66,6.12,5.67,0.42,0.38,-0.108,9.10e-04,25,0.0028
EHD1,4.57,4.24,0.28,0.31,-0.108,8.74e-04,25,0.0027
FLJ44606,2.74,2.54,0.46,0.43,-0.108,0.1783,25,0.2706
ZC3H7B,4.57,4.93,0.26,0.29,0.108,3.21e-04,25,0.0011
CCNT1,5.77,6.22,0.49,0.38,0.108,0.0033,25,0.0086
ZNF629,5.18,5.59,0.28,0.36,0.108,2.24e-04,25,8.21e-04
NCBP1,6.36,6.86,0.41,0.37,0.108,6.11e-04,25,0.0020
RALB,6.64,6.16,0.27,0.33,-0.108,3.40e-06,25,2.05e-05
PLEKHA8,3.07,3.31,0.11,0.17,0.108,6.26e-06,25,3.50e-05
USP13,4.92,5.31,0.48,0.56,0.108,0.0275,25,0.0552
QDPR,5.53,5.96,0.33,0.34,0.108,7.45e-05,25,3.11e-04
LRRC23,3.44,3.7,0.34,0.41,0.108,0.0196,25,0.0412
PCCA,7.57,7.02,0.3,0.9,-0.108,0.0086,25,0.0201
DHFRL1,3.85,3.57,0.22,0.28,-0.108,8.40e-05,25,3.47e-04
H2AFV,7.01,7.56,0.16,0.49,0.108,1.55e-06,25,1.03e-05
C10orf140,2.3,2.14,0.25,0.09,-0.108,0.0055,25,0.0135
C7orf40 /// SNORA9,2.14,2.31,0.18,0.32,0.108,0.0188,25,0.0396
CLC,3.06,2.84,0.68,0.7,-0.108,0.3075,25,0.4207
PPAPDC1A,2.45,2.64,0.27,0.53,0.108,0.1067,25,0.1770
C18orf54,3.04,3.28,0.2,0.37,0.108,0.0057,25,0.0140
POR,5.85,6.31,0.47,0.51,0.108,0.0018,25,0.0050
SPATA16,2.42,2.25,0.16,0.12,-0.108,4.55e-04,25,0.0015
ERI2,4.65,5.02,0.29,0.4,0.108,0.0044,25,0.0112
RNASE4,8.52,7.91,0.51,0.8,-0.108,0.0055,25,0.0135
ST8SIA4,3.33,3.09,0.29,0.38,-0.108,0.0303,25,0.0601
PAPSS1,6.83,7.36,0.54,0.38,0.108,0.0026,25,0.0069
LUM,9.87,9.16,0.98,1.76,-0.108,0.1203,25,0.1952
LGALS12,2.78,2.58,0.31,0.17,-0.108,0.0170,25,0.0363
CHCHD5,5.58,6.01,0.29,0.38,0.108,2.92e-04,25,0.0010
XPO6,6.81,7.34,0.36,0.28,0.108,1.43e-05,25,7.22e-05
IGFL3,2.67,2.47,0.27,0.18,-0.108,0.0029,25,0.0076
LOC284100,2.59,2.41,0.27,0.24,-0.108,0.0069,25,0.0166
CCDC29,2.24,2.08,0.21,0.16,-0.108,0.0106,25,0.0241
SUPT16H,7.83,8.44,0.27,0.47,0.108,4.45e-06,25,2.60e-05
FAM119B,3.74,4.03,0.25,0.31,0.108,0.0026,25,0.0071
ZSCAN2,2.88,3.1,0.13,0.12,0.108,2.01e-05,25,9.73e-05
RTN4,9.97,9.25,0.22,0.33,-0.108,7.69e-08,25,7.56e-07
C12orf57,9.88,9.17,0.53,0.95,-0.108,0.0055,25,0.0136
PKD1L1,2.52,2.72,0.19,0.41,0.108,0.0458,25,0.0861
ABCC6 /// LOC100292715,3.41,3.17,0.39,0.33,-0.108,0.0260,25,0.0526
PTGS2,4.21,3.91,1.47,1.21,-0.108,0.4422,25,0.5572
C6orf226,4.91,4.56,0.41,0.37,-0.108,0.0024,25,0.0066
AMT /// NICN1,2.57,2.77,0.28,0.32,0.108,0.0421,25,0.0800
GRIA4,2.39,2.22,0.16,0.16,-0.108,2.17e-04,25,7.95e-04
P4HB,8.46,9.12,0.41,0.57,0.108,2.04e-05,25,9.86e-05
PLXNC1,3.52,3.27,0.41,0.76,-0.108,0.2104,25,0.3100
ZNF474,2.89,2.68,0.33,0.23,-0.108,0.0219,25,0.0452
FAM181B,2.7,2.51,0.27,0.15,-0.108,0.0050,25,0.0124
FLJ23867 /// QSOX1,7.32,6.79,0.73,1.07,-0.108,0.0399,25,0.0765
ICA1L,2.68,2.49,0.31,0.18,-0.108,0.0092,25,0.0213
LRP5L,2.93,3.15,0.2,0.24,0.108,0.0027,25,0.0073
RILPL2,4.65,5.01,0.65,0.63,0.108,0.1083,25,0.1794
SMAD2,6.57,6.1,0.19,0.52,-0.108,3.11e-04,25,0.0011
SNORA59A /// SNORA59B,3.31,3.57,0.26,0.39,0.108,0.0118,25,0.0264
C12orf28,2.79,2.59,0.52,0.38,-0.108,0.1397,25,0.2213
WARS2,4.35,4.69,0.21,0.37,0.108,6.39e-04,25,0.0020
RPL10L,3.68,3.41,0.42,0.32,-0.108,0.0322,25,0.0636
TMEM149,5.14,5.54,0.64,0.6,0.108,0.0090,25,0.0208
PDXK,5.22,5.63,0.4,0.43,0.108,0.0016,25,0.0047
ZDHHC4,7.64,8.23,0.39,0.7,0.108,2.37e-04,25,8.59e-04
CHD1L,5.53,5.96,0.22,0.41,0.108,1.08e-04,25,4.32e-04
C11orf49,4.66,5.02,0.26,0.41,0.108,4.56e-04,25,0.0015
KIAA0831,4.51,4.18,0.24,0.27,-0.108,5.66e-05,25,2.44e-04
RNF138,7.58,7.03,0.49,0.49,-0.108,0.0023,25,0.0063
TNRC6B,6.2,5.75,0.19,0.34,-0.108,3.17e-06,25,1.93e-05
CREB5,3.29,3.06,0.52,0.46,-0.108,0.1650,25,0.2544
SLC16A2,2.4,2.23,0.27,0.18,-0.108,0.0180,25,0.0383
HORMAD1,2.36,2.54,0.2,0.7,0.108,0.2230,25,0.3247
C6orf141,2.68,2.89,0.23,0.44,0.108,0.0758,25,0.1323
HOXD4,2.9,2.7,0.26,0.25,-0.108,0.0049,25,0.0122
GLRX2,7.23,7.78,0.21,0.49,0.108,4.91e-05,25,2.15e-04
PAIP1,7.55,8.13,0.29,0.38,0.108,1.17e-05,25,6.03e-05
SSR4,10.61,11.43,0.5,0.44,0.107,1.01e-07,25,9.64e-07
PIAS4,4.59,4.94,0.2,0.25,0.107,1.82e-05,25,8.95e-05
WDR60,5.42,5.84,0.44,0.53,0.107,0.0030,25,0.0080
C17orf56,3.07,3.31,0.43,0.33,0.107,0.0765,25,0.1333
TRAPPC6B,5.11,4.75,0.27,0.35,-0.107,4.11e-04,25,0.0014
KRBA2,2.44,2.26,0.22,0.17,-0.107,0.0012,25,0.0036
CRELD1,3.88,3.61,0.6,0.41,-0.107,0.0507,25,0.0939
FOXD4L1,2.02,2.17,0.17,0.29,0.107,0.0250,25,0.0508
NOTCH2 /// NOTCH2NL,5.0,4.64,0.31,0.34,-0.107,8.18e-06,25,4.42e-05
DRD5,2.67,2.48,0.58,0.25,-0.107,0.1768,25,0.2687
C1orf106,5.26,4.88,0.77,0.28,-0.107,0.0411,25,0.0785
C8orf80,2.3,2.14,0.52,0.17,-0.107,0.1735,25,0.2646
TNFRSF1B,4.65,5.01,0.3,0.55,0.107,0.0057,25,0.0140
OR10Q1,2.48,2.3,0.2,0.18,-0.107,0.0055,25,0.0134
ZNF223,4.2,3.9,0.28,0.54,-0.107,0.0234,25,0.0481
HORMAD2,2.21,2.38,0.17,0.17,0.107,5.88e-04,25,0.0019
WBSCR16,3.23,3.48,0.16,0.25,0.107,2.74e-05,25,1.28e-04
JPH3,2.48,2.3,0.16,0.13,-0.107,1.35e-04,25,5.25e-04
MYL6,9.56,8.87,0.33,0.23,-0.107,1.03e-07,25,9.79e-07
BATF3,3.23,3.48,0.31,0.43,0.107,0.0093,25,0.0214
DDX50,7.33,7.89,0.51,0.31,0.107,3.40e-05,25,1.55e-04
LOC26172,2.86,2.65,0.24,0.23,-0.107,0.0073,25,0.0174
CARD8,4.06,3.77,0.28,0.39,-0.107,0.0045,25,0.0113
ULBP2,2.13,2.3,0.1,0.17,0.107,7.09e-05,25,2.97e-04
CADPS2,4.45,4.8,0.21,0.76,0.107,0.0402,25,0.0770
AK3,7.57,7.03,0.27,0.43,-0.107,1.54e-05,25,7.71e-05
SEC22C,4.52,4.86,0.67,0.55,0.107,0.0612,25,0.1103
FAM101A,7.26,6.74,1.22,1.29,-0.107,0.1454,25,0.2289
APBB2,4.25,4.57,0.35,0.56,0.107,0.0295,25,0.0587
RFXANK,6.5,7.0,0.22,0.3,0.107,2.82e-07,25,2.38e-06
C16orf58,4.61,4.96,0.19,0.29,0.107,1.49e-04,25,5.74e-04
KLHDC2,10.0,9.29,0.26,0.39,-0.107,1.50e-08,25,1.86e-07
TASP1,3.93,4.24,0.16,0.42,0.107,0.0038,25,0.0098
RPS25,8.54,9.2,0.32,0.42,0.107,4.75e-07,25,3.70e-06
AK3L1,5.28,5.68,0.72,0.85,0.107,0.0951,25,0.1607
B3GNT5,5.85,5.43,0.72,0.24,-0.107,0.0104,25,0.0237
LSM4,7.88,8.48,0.34,0.54,0.107,3.44e-06,25,2.08e-05
ZFYVE9,3.35,3.11,0.18,0.3,-0.107,0.0044,25,0.0111
ZNF207,7.89,8.5,0.21,0.35,0.107,3.32e-08,25,3.67e-07
MANBAL,6.62,7.13,0.47,0.59,0.107,0.0021,25,0.0059
DGKE,2.6,2.81,0.11,0.19,0.107,7.20e-05,25,3.01e-04
CFLAR,5.61,5.21,0.33,0.44,-0.107,5.59e-04,25,0.0018
UBA6,4.98,5.36,0.24,0.38,0.107,1.93e-04,25,7.20e-04
DCAF4,4.25,4.58,0.19,0.36,0.107,1.15e-04,25,4.58e-04
SLC26A6,6.52,6.06,0.92,0.62,-0.107,0.0852,25,0.1462
GIF,2.36,2.54,0.19,0.43,0.107,0.0625,25,0.1125
C19orf60,6.99,7.53,0.25,0.36,0.107,4.02e-08,25,4.30e-07
ZFP91 /// ZFP91-CNTF,7.96,7.4,0.29,0.34,-0.107,8.64e-07,25,6.24e-06
SNED1,2.78,2.58,0.19,0.24,-0.107,0.0077,25,0.0182
LATS2,5.2,4.83,0.49,0.41,-0.107,0.0133,25,0.0293
APIP,7.3,7.86,0.47,0.84,0.107,0.0020,25,0.0056
ANKRD13D,3.61,3.88,0.22,0.27,0.107,0.0022,25,0.0059
TMEM120B,2.96,3.19,0.18,0.27,0.107,7.93e-04,25,0.0025
ETFA,9.38,8.71,0.41,0.71,-0.107,9.68e-05,25,3.93e-04
GNE,5.3,4.92,0.76,0.95,-0.107,0.1858,25,0.2801
HMGB1,8.73,9.4,0.23,0.33,0.107,5.88e-08,25,5.96e-07
SCARB2,7.91,7.35,0.38,0.3,-0.106,3.42e-06,25,2.06e-05
DOCK3,2.81,2.61,0.39,0.14,-0.106,0.0189,25,0.0398
CKM,2.71,2.52,0.31,0.12,-0.106,0.0052,25,0.0129
TRPV3,2.89,2.68,0.26,0.19,-0.106,0.0070,25,0.0167
THOC5,5.58,6.01,0.34,0.34,0.106,5.84e-04,25,0.0019
HAUS8,4.39,4.73,0.48,0.48,0.106,0.0504,25,0.0935
FAH,4.25,4.57,0.13,0.46,0.106,9.00e-04,25,0.0028
LAMA5,3.38,3.64,0.54,0.53,0.106,0.1373,25,0.2183
GADD45B,5.46,5.07,0.75,0.47,-0.106,0.0780,25,0.1356
PCDHB9,2.58,2.78,0.19,0.32,0.106,0.0139,25,0.0304
NFYB,5.21,5.6,0.62,0.33,0.106,0.0092,25,0.0213
AHR,6.31,6.8,0.26,0.46,0.106,2.26e-04,25,8.26e-04
PPAPDC1B,5.89,6.34,0.45,0.6,0.106,0.0047,25,0.0117
KIAA0586,3.89,4.19,0.18,0.35,0.106,0.0014,25,0.0042
ZNF462,6.06,5.63,0.35,0.66,-0.106,0.0117,25,0.0263
KIF3B,5.18,5.58,0.26,0.4,0.106,3.28e-04,25,0.0011
ZNF282,3.18,3.42,0.15,0.15,0.106,1.16e-07,25,1.09e-06
C20orf72,7.45,8.02,0.42,0.64,0.106,0.0041,25,0.0105
SLC38A7,3.38,3.64,0.16,0.19,0.106,8.52e-06,25,4.57e-05
CHCHD10,10.97,10.19,0.34,0.69,-0.106,7.18e-05,25,3.01e-04
EIF4G1,7.58,8.16,0.29,0.55,0.106,6.03e-06,25,3.38e-05
HLA-DRB4,5.74,5.34,1.99,1.98,-0.106,0.2452,25,0.3511
KDELC2,7.13,7.67,0.62,0.34,0.106,9.78e-04,25,0.0030
CISD2,7.62,8.2,0.22,0.52,0.106,7.03e-06,25,3.88e-05
GABARAPL2,9.57,8.89,0.17,0.41,-0.106,3.97e-07,25,3.17e-06
DUSP15,3.02,3.25,0.25,0.26,0.106,0.0037,25,0.0095
CLLU1OS,2.18,2.35,0.23,0.28,0.106,0.0271,25,0.0545
GJB7,1.96,2.1,0.13,0.64,0.106,0.2726,25,0.3815
KLHL25,4.27,4.59,0.32,0.44,0.106,0.0046,25,0.0116
SH2B2,2.33,2.5,0.19,0.21,0.106,0.0037,25,0.0095
RSPH1,2.96,3.19,0.31,0.62,0.106,0.1324,25,0.2118
COG5,6.35,6.84,0.37,0.43,0.106,2.59e-04,25,9.28e-04
RPP38,6.2,6.67,0.28,0.36,0.106,1.93e-06,25,1.25e-05
TMEM173,3.96,4.26,0.58,0.76,0.106,0.1661,25,0.2556
SLC37A1,5.69,5.29,0.85,0.66,-0.106,0.1167,25,0.1904
ABHD10,5.45,5.87,0.23,0.47,0.106,4.67e-04,25,0.0016
USE1,6.04,6.5,0.33,0.45,0.106,2.13e-04,25,7.83e-04
P2RX5,3.04,3.28,0.59,0.53,0.106,0.1325,25,0.2119
IFNGR1,8.0,7.43,0.52,0.49,-0.106,5.12e-04,25,0.0017
TRAF2,3.34,3.59,0.22,0.22,0.106,4.73e-04,25,0.0016
KRTAP20-4,2.37,2.56,0.17,0.22,0.106,0.0104,25,0.0236
TMIGD2,3.77,3.5,0.41,0.27,-0.106,0.0069,25,0.0165
ARL11,2.62,2.82,0.18,0.58,0.106,0.1396,25,0.2212
